user,items[0].itemName,items[1].itemName,items[2].itemName,items[3].itemName,items[4].itemName
101,Dog,Cat,Horse,Cat Food,Dog Food
101,Onion,Plate,,,
102,Keyboard,Broccoli,,,
102,Keyboard,Chocolate Bar,,,
102,Broccoli,Onion,Stew,,
102,Chocolate Bar,,,,
102,Stew,,,,
103,Cat,,,,
103,Cat Food,Cat,Dog,Dog Food,Horse
103,Cat Food,Dog Food,Dog,Horse,
103,Horse,Dog,Dog Food,Tucan,Cat
103,Cat Food,Dog Food,Dog,Cat,Tucan
104,Cat Food,,,,
104,Dog Food,,,,
104,Dog Food,,,,
104,Cat Food,Cat,Horse,Tucan,
104,Dog Food,Cat Food,Cat,,
105,Cat,Tucan,Dog Food,Horse,
105,Dog Food,Tucan,Cat Food,Horse,
105,Horse,Dog,Tucan,Dog Food,
105,Dog,Dog Food,Cat,Tucan,
105,Cat Food,Cat,,,
106,Cat,Cat Food,,,
106,Plate,Chocolate Bar,,,
106,Dog Food,Horse,Tucan,,
106,Onion,Plate,,,
106,Tucan,Dog,Dog Food,Cat Food,
107,Broccoli,,,,
107,Table,Broccoli,Stew,Plate,Chocolate Bar
107,Broccoli,Stew,Table,Chocolate Bar,
107,Chocolate Bar,Plate,,,
107,Chocolate Bar,Table,,,
108,Broccoli,Plate,,,
108,Table,,,,
108,Plate,Table,,,
108,Keyboard,Computer Mouse,Chocolate Bar,Stew,
108,Chocolate Bar,Plate,Stew,Onion,
109,Dog Food,Tucan,Cat,Horse,Cat Food
109,Tucan,Cat,Dog Food,,
109,Cat Food,Horse,Dog,Cat,Dog Food
109,Dog Food,,,,
109,Tucan,,,,
110,Stew,Chocolate Bar,Keyboard,Computer Mouse,
110,Onion,Keyboard,,,
110,Chocolate Bar,,,,
110,Computer Mouse,Stew,Chocolate Bar,Broccoli,
110,Chocolate Bar,,,,
111,Stew,Computer Mouse,Chocolate Bar,,
111,Broccoli,Chocolate Bar,Onion,,
111,Keyboard,Broccoli,Chocolate Bar,Computer Mouse,Onion
111,Cat Food,Dog Food,Tucan,,
111,Chocolate Bar,,,,
112,Tucan,,,,
112,Dog,Dog Food,,,
112,Horse,Tucan,Cat,Dog,
112,Dog Food,Horse,Dog,Cat Food,
112,Cat Food,Dog,,,
113,Table,,,,
113,Computer Mouse,Table,,,
113,Chocolate Bar,Plate,Keyboard,Table,Computer Mouse
113,Plate,Keyboard,Table,Chocolate Bar,
113,Table,Plate,Keyboard,,
114,Table,Chocolate Bar,,,
114,Chocolate Bar,,,,
114,Table,,,,
114,Table,Plate,,,
114,Plate,Onion,Broccoli,Table,
115,Computer Mouse,Chocolate Bar,,,
115,Keyboard,,,,
115,Keyboard,,,,
115,Onion,Keyboard,Broccoli,,
115,Keyboard,Chocolate Bar,Onion,Broccoli,
116,Cat Food,,,,
116,Tucan,Cat Food,Dog Food,,
116,Cat Food,,,,
116,Cat Food,Dog Food,Tucan,Cat,
116,Horse,,,,
117,Plate,Chocolate Bar,Computer Mouse,,
117,Table,Keyboard,Plate,Chocolate Bar,Computer Mouse
117,Computer Mouse,Chocolate Bar,Table,,
117,Dog Food,,,,
117,Plate,,,,
118,Cat Food,Tucan,Dog Food,Dog,
118,Dog Food,Dog,Cat,Tucan,Horse
118,Table,Onion,Chocolate Bar,Plate,
118,Table,,,,
118,Onion,Stew,,,
119,Plate,,,,
119,Onion,Table,,,
119,Chocolate Bar,Keyboard,Stew,,
119,Cat,Dog Food,Horse,Dog,Cat Food
119,Table,Broccoli,Plate,,
120,Computer Mouse,Onion,,,
120,Keyboard,Chocolate Bar,Stew,,
120,Chocolate Bar,Keyboard,Computer Mouse,Broccoli,Stew
120,Onion,Chocolate Bar,,,
120,Computer Mouse,,,,
121,Keyboard,Table,Computer Mouse,Chocolate Bar,Plate
121,Table,,,,
121,Table,Plate,,,
121,Chocolate Bar,Plate,Computer Mouse,Keyboard,
121,Onion,Chocolate Bar,Keyboard,Stew,Computer Mouse
122,Cat Food,Cat,,,
122,Cat Food,Horse,Cat,Dog,
122,Cat Food,Horse,,,
122,Cat,Cat Food,Horse,Dog Food,Dog
122,Dog,Cat Food,Dog Food,,
123,Table,,,,
123,Plate,Chocolate Bar,,,
123,Table,Keyboard,,,
123,Computer Mouse,,,,
123,Chocolate Bar,,,,
124,Chocolate Bar,Keyboard,Table,Computer Mouse,
124,Dog,,,,
124,Dog,Cat Food,Cat,Horse,
124,Plate,Computer Mouse,Table,,
124,Table,Keyboard,Chocolate Bar,,
125,Tucan,Horse,Dog,,
125,Cat Food,Tucan,,,
125,Cat Food,,,,
125,Tucan,,,,
125,Tucan,,,,
126,Dog,Dog Food,Cat Food,,
126,Dog,Tucan,,,
126,Keyboard,Onion,Computer Mouse,Chocolate Bar,
126,Dog,Dog Food,,,
126,Dog Food,Dog,Cat,Horse,
127,Table,Onion,Plate,Broccoli,Stew
127,Table,Plate,,,
127,Plate,Stew,Onion,Table,Chocolate Bar
127,Stew,Broccoli,,,
127,Plate,Broccoli,Table,Chocolate Bar,
128,Tucan,Dog Food,,,
128,Chocolate Bar,Keyboard,Computer Mouse,,
128,Onion,Stew,Keyboard,Computer Mouse,Chocolate Bar
128,Broccoli,Keyboard,Stew,Chocolate Bar,Computer Mouse
128,Stew,Broccoli,,,
129,Dog,,,,
129,Tucan,Cat,,,
129,Dog Food,Cat Food,Horse,Dog,Tucan
129,Horse,Cat Food,Dog Food,,
129,Dog,Cat Food,Dog Food,Tucan,
130,Tucan,Cat Food,Dog Food,Horse,Cat
130,Horse,Cat Food,,,
130,Dog Food,Horse,,,
130,Tucan,,,,
130,Dog Food,Horse,,,
131,Keyboard,Chocolate Bar,Stew,Broccoli,Onion
131,Dog,Tucan,,,
131,Cat Food,,,,
131,Cat,Tucan,Dog Food,,
131,Cat,Dog Food,,,
132,Chocolate Bar,Table,,,
132,Plate,Table,Stew,Broccoli,
132,Table,Broccoli,Plate,Onion,Chocolate Bar
132,Plate,Onion,,,
132,Onion,Plate,Chocolate Bar,Broccoli,
133,Plate,Table,,,
133,Plate,Chocolate Bar,Broccoli,Table,
133,Cat Food,Dog Food,Cat,Dog,Horse
133,Dog Food,Tucan,Cat,,
133,Plate,Table,Onion,Chocolate Bar,Broccoli
134,Dog,,,,
134,Dog,Dog Food,Cat Food,Tucan,Cat
134,Cat Food,Dog Food,,,
134,Dog Food,Cat Food,Tucan,Horse,Cat
134,Cat Food,Horse,Cat,Tucan,
135,Plate,Table,Keyboard,,
135,Plate,,,,
135,Keyboard,Chocolate Bar,Plate,,
135,Chocolate Bar,Computer Mouse,,,
135,Table,Computer Mouse,Plate,Keyboard,Chocolate Bar
136,Dog Food,,,,
136,Dog,Cat,,,
136,Plate,Chocolate Bar,Table,,
136,Cat Food,Dog Food,Dog,Horse,Cat
136,Cat Food,Tucan,,,
137,Tucan,Cat Food,Dog,Dog Food,
137,Computer Mouse,,,,
137,Computer Mouse,Chocolate Bar,Plate,,
137,Plate,Computer Mouse,Keyboard,Chocolate Bar,Table
137,Plate,,,,
138,Chocolate Bar,Stew,Computer Mouse,Onion,
138,Chocolate Bar,Computer Mouse,Stew,Broccoli,
138,Chocolate Bar,Keyboard,Stew,,
138,Computer Mouse,Keyboard,,,
138,Chocolate Bar,Keyboard,Table,Plate,Computer Mouse
139,Chocolate Bar,Plate,Broccoli,Table,Stew
139,Table,,,,
139,Dog Food,Cat Food,Cat,,
139,Plate,Table,Chocolate Bar,,
139,Broccoli,Chocolate Bar,Keyboard,,
140,Horse,Dog Food,Cat,Cat Food,Dog
140,Computer Mouse,Broccoli,Keyboard,,
140,Dog Food,Dog,Horse,Cat Food,Tucan
